timestamp,county,florida_resident,florida_resident_outside,non_florida_resident,total
2020-03-18 17:08:00 EDT,Broward,73,0,7,80
2020-03-18 17:08:00 EDT,Dade,72,1,4,77
2020-03-18 17:08:00 EDT,Palm Beach,19,1,1,21
2020-03-18 17:08:00 EDT,Duval,13,0,1,14
2020-03-18 17:08:00 EDT,Hillsborough,12,0,2,14
2020-03-18 17:08:00 EDT,Collier,11,0,2,13
2020-03-18 17:08:00 EDT,Pinellas,12,0,0,12
2020-03-18 17:08:00 EDT,Lee,9,0,2,11
2020-03-18 17:08:00 EDT,Orange,9,1,1,11
2020-03-18 17:08:00 EDT,Volusia,9,0,0,9
2020-03-18 17:08:00 EDT,Manatee,8,0,0,8
2020-03-18 17:08:00 EDT,Osceola,6,0,2,8
2020-03-18 17:08:00 EDT,Alachua,4,0,3,7
2020-03-18 17:08:00 EDT,Seminole,7,0,0,7
2020-03-18 17:08:00 EDT,Clay,4,0,0,4
2020-03-18 17:08:00 EDT,Okaloosa,3,1,0,4
2020-03-18 17:08:00 EDT,Sarasota,2,0,2,4
2020-03-18 17:08:00 EDT,St. Johns,3,0,1,4
2020-03-18 17:08:00 EDT,Citrus,3,0,0,3
2020-03-18 17:08:00 EDT,Pasco,3,0,0,3
2020-03-18 17:08:00 EDT,Brevard,2,0,0,2
2020-03-18 17:08:00 EDT,Lake,2,0,0,2
2020-03-18 17:08:00 EDT,Polk,2,0,0,2
2020-03-18 17:08:00 EDT,Charlotte,1,0,0,1
2020-03-18 17:08:00 EDT,Escambia,1,0,0,1
2020-03-18 17:08:00 EDT,Gadsden,0,1,0,1
2020-03-18 17:08:00 EDT,Leon,0,1,0,1
2020-03-18 17:08:00 EDT,Nassau,1,0,0,1
2020-03-18 17:08:00 EDT,Santa Rosa,1,0,0,1
2020-03-18 17:08:00 EDT,Sumter,1,0,0,1
2020-03-18 17:08:00 EDT,Walton,0,0,1,1
