timestamp,county,florida_resident,florida_resident_outside,non_florida_resident,total
2020-03-19 09:54:00 EDT,Broward,89,0,7,96
2020-03-19 09:54:00 EDT,Dade,81,1,4,86
2020-03-19 09:54:00 EDT,Palm Beach,27,1,1,29
2020-03-19 09:54:00 EDT,Hillsborough,17,0,2,19
2020-03-19 09:54:00 EDT,Collier,16,0,2,18
2020-03-19 09:54:00 EDT,Duval,14,0,1,15
2020-03-19 09:54:00 EDT,Orange,13,1,1,15
2020-03-19 09:54:00 EDT,Pinellas,14,0,0,14
2020-03-19 09:54:00 EDT,Lee,9,0,2,11
2020-03-19 09:54:00 EDT,Alachua,7,0,3,10
2020-03-19 09:54:00 EDT,Manatee,9,0,0,9
2020-03-19 09:54:00 EDT,Osceola,7,0,2,9
2020-03-19 09:54:00 EDT,Volusia,9,0,0,9
2020-03-19 09:54:00 EDT,Seminole,8,0,0,8
2020-03-19 09:54:00 EDT,Sarasota,3,0,2,5
2020-03-19 09:54:00 EDT,Clay,4,0,0,4
2020-03-19 09:54:00 EDT,Leon,2,1,1,4
2020-03-19 09:54:00 EDT,Okaloosa,3,1,0,4
2020-03-19 09:54:00 EDT,Pasco,4,0,0,4
2020-03-19 09:54:00 EDT,St. Johns,3,0,1,4
2020-03-19 09:54:00 EDT,Citrus,3,0,0,3
2020-03-19 09:54:00 EDT,Brevard,2,0,0,2
2020-03-19 09:54:00 EDT,Lake,2,0,0,2
2020-03-19 09:54:00 EDT,Polk,2,0,0,2
2020-03-19 09:54:00 EDT,Santa Rosa,2,0,0,2
2020-03-19 09:54:00 EDT,Charlotte,1,0,0,1
2020-03-19 09:54:00 EDT,Escambia,1,0,0,1
2020-03-19 09:54:00 EDT,Gadsden,0,1,0,1
2020-03-19 09:54:00 EDT,Nassau,1,0,0,1
2020-03-19 09:54:00 EDT,Sumter,1,0,0,1
2020-03-19 09:54:00 EDT,Walton,0,0,1,1
